# num-edges , num-vertices ,mcsl_rtp
768,256
# edge num,from,to,edge price 
366,131,127,1
367,127,131,1
368,40,134,6.08276
369,41,134,6.32456
370,134,40,6.08276
371,134,41,6.32456
372,42,137,6.7082
373,43,137,7.2111
374,137,42,6.7082
375,137,43,7.2111
376,138,134,1
377,134,138,1
378,138,137,1
379,137,138,1
380,139,134,1
381,134,139,1
382,139,137,1
383,137,139,1
384,44,142,7.81025
385,45,142,8.48528
386,142,44,7.81025
387,142,45,8.48528
388,46,145,9.21954
389,47,145,10
390,145,46,9.21954
391,145,47,10
392,146,142,1
393,142,146,1
394,146,145,1
395,145,146,1
396,147,142,1
397,142,147,1
398,147,145,1
399,145,147,1
400,148,138,1
401,138,148,1
402,148,146,1
403,146,148,1
404,149,138,1
405,138,149,1
406,149,146,1
407,146,149,1
408,150,139,1
409,139,150,1
410,150,147,1
411,147,150,1
412,151,139,1
413,139,151,1
414,151,147,1
415,147,151,1
416,152,128,1
417,128,152,1
418,152,148,1
419,148,152,1
420,153,128,1
421,128,153,1
422,153,148,1
423,148,153,1
424,154,129,1
425,129,154,1
426,154,149,1
427,149,154,1
428,155,129,1
429,129,155,1
430,155,149,1
431,149,155,1
432,156,130,1
433,130,156,1
434,156,150,1
435,150,156,1
436,157,130,1
437,130,157,1
438,157,150,1
439,150,157,1
440,158,131,1
441,131,158,1
442,158,151,1
443,151,158,1
444,159,131,1
445,131,159,1
446,159,151,1
447,151,159,1
448,48,162,7.07107
449,49,162,7.28011
450,162,48,7.07107
451,162,49,7.28011
452,50,165,7.61577
453,51,165,8.06226
454,165,50,7.61577
455,165,51,8.06226
456,166,162,1
457,162,166,1
458,166,165,1
459,165,166,1
460,167,162,1
461,162,167,1
462,167,165,1
463,165,167,1
464,52,170,8.60233
465,53,170,9.21954
466,170,52,8.60233
467,170,53,9.21954
468,54,173,9.89949
469,55,173,10.6301
470,173,54,9.89949
471,173,55,10.6301
472,174,170,1
473,170,174,1
474,174,173,1
475,173,174,1
476,175,170,1
477,170,175,1
478,175,173,1
479,173,175,1
480,176,166,1
481,166,176,1
482,176,174,1
483,174,176,1
484,177,166,1
485,166,177,1
486,177,174,1
487,174,177,1
488,178,167,1
489,167,178,1
490,178,175,1
491,175,178,1
492,179,167,1
493,167,179,1
494,179,175,1
495,175,179,1
496,56,182,8.06226
497,57,182,8.24621
498,182,56,8.06226
499,182,57,8.24621
500,58,185,8.544
501,59,185,8.94427
502,185,58,8.544
503,185,59,8.94427
504,186,182,1
505,182,186,1
506,186,185,1
507,185,186,1
508,187,182,1
509,182,187,1
510,187,185,1
511,185,187,1
512,60,190,9.43398
513,61,190,10
514,190,60,9.43398
515,190,61,10
516,62,193,10.6301
517,63,193,11.3137
518,193,62,10.6301
519,193,63,11.3137
520,194,190,1
521,190,194,1
522,194,193,1
523,193,194,1
524,195,190,1
525,190,195,1
526,195,193,1
527,193,195,1
528,196,186,1
529,186,196,1
530,196,194,1
531,194,196,1
532,197,186,1
533,186,197,1
534,197,194,1
535,194,197,1
536,198,187,1
537,187,198,1
538,198,195,1
539,195,198,1
540,199,187,1
541,187,199,1
542,199,195,1
543,195,199,1
544,200,176,1
545,176,200,1
546,200,196,1
547,196,200,1
548,201,176,1
549,176,201,1
550,201,196,1
551,196,201,1
552,202,177,1
553,177,202,1
554,202,197,1
555,197,202,1
556,203,177,1
557,177,203,1
558,203,197,1
559,197,203,1
560,204,178,1
561,178,204,1
562,204,198,1
563,198,204,1
564,205,178,1
565,178,205,1
566,205,198,1
567,198,205,1
568,206,179,1
569,179,206,1
570,206,199,1
571,199,206,1
572,207,179,1
573,179,207,1
574,207,199,1
575,199,207,1
576,208,152,1
577,152,208,1
578,208,200,1
579,200,208,1
